Transaction ID,Date,Customer ID,Product Category,Quantity,Price per Unit,Total Amount
1,2023-11-24,CUST001,Beauty,3,50,150
2,2023-02-27,CUST002,Clothing,2,500,1000
3,2023-01-13,CUST003,Electronics,1,30,30
4,2023-05-21,CUST004,Clothing,1,500,500
5,2023-05-06,CUST005,Beauty,2,50,100
6,2023-04-25,CUST006,Beauty,1,30,30
7,2023-03-13,CUST007,Clothing,2,25,50
8,2023-02-22,CUST008,Electronics,4,25,100
9,2023-12-13,CUST009,Electronics,2,300,600
10,2023-10-07,CUST010,Clothing,4,50,200
11,2023-02-14,CUST011,Clothing,2,50,100
12,2023-10-30,CUST012,Beauty,3,25,75
13,2023-08-05,CUST013,Electronics,3,500,1500
14,2023-01-17,CUST014,Clothing,4,30,120
15,2023-01-16,CUST015,Electronics,4,500,2000
16,2023-02-17,CUST016,Clothing,3,500,1500
17,2023-04-22,CUST017,Clothing,4,25,100
18,2023-04-30,CUST018,Electronics,2,25,50
19,2023-09-16,CUST019,Clothing,2,25,50
20,2023-11-05,CUST020,Clothing,3,300,900
21,2023-01-14,CUST021,Beauty,1,500,500
22,2023-10-15,CUST022,Clothing,2,50,100
23,2023-04-12,CUST023,Clothing,4,30,120
24,2023-11-29,CUST024,Clothing,1,300,300
25,2023-12-26,CUST025,Beauty,1,50,50
26,2023-10-07,CUST026,Electronics,2,500,1000
27,2023-08-03,CUST027,Beauty,2,25,50
28,2023-04-23,CUST028,Beauty,1,500,500
29,2023-08-18,CUST029,Electronics,1,30,30
30,2023-10-29,CUST030,Beauty,3,300,900
31,2023-05-23,CUST031,Electronics,4,300,1200
32,2023-01-04,CUST032,Beauty,3,30,90
33,2023-03-23,CUST033,Electronics,2,50,100
34,2023-12-24,CUST034,Clothing,3,50,150
35,2023-08-05,CUST035,Beauty,3,300,900
36,2023-06-24,CUST036,Beauty,3,300,900
37,2023-05-23,CUST037,Beauty,3,25,75
38,2023-03-21,CUST038,Beauty,4,50,200
39,2023-04-21,CUST039,Clothing,4,30,120
40,2023-06-22,CUST040,Beauty,1,50,50
41,2023-02-22,CUST041,Clothing,2,25,50
42,2023-02-17,CUST042,Clothing,3,300,900
43,2023-07-14,CUST043,Clothing,1,300,300
44,2023-02-19,CUST044,Clothing,1,25,25
45,2023-07-03,CUST045,Electronics,1,30,30
46,2023-06-26,CUST046,Electronics,4,300,1200
47,2023-11-06,CUST047,Beauty,3,500,1500
48,2023-05-16,CUST048,Electronics,3,300,900
49,2023-01-23,CUST049,Electronics,2,500,1000
50,2023-08-24,CUST050,Beauty,3,25,75
51,2023-10-02,CUST051,Beauty,3,25,75
52,2023-03-05,CUST052,Beauty,1,300,300
53,2023-07-13,CUST053,Electronics,2,50,100
54,2023-02-10,CUST054,Electronics,3,500,1500
55,2023-10-10,CUST055,Beauty,4,30,120
56,2023-05-31,CUST056,Clothing,3,300,900
57,2023-11-18,CUST057,Beauty,1,30,30
58,2023-11-13,CUST058,Clothing,4,300,1200
59,2023-07-05,CUST059,Clothing,1,50,50
60,2023-10-23,CUST060,Beauty,3,50,150
61,2023-04-09,CUST061,Beauty,4,50,200
62,2023-12-27,CUST062,Beauty,2,50,100
63,2023-02-05,CUST063,Electronics,2,25,50
64,2023-01-24,CUST064,Clothing,4,25,100
65,2023-12-05,CUST065,Electronics,4,500,2000
66,2023-04-27,CUST066,Electronics,1,30,30
67,2023-05-29,CUST067,Beauty,4,300,1200
68,2023-02-10,CUST068,Electronics,1,300,300
69,2023-04-30,CUST069,Beauty,3,25,75
70,2023-02-21,CUST070,Clothing,1,300,300
71,2023-07-14,CUST071,Beauty,4,25,100
72,2023-05-23,CUST072,Electronics,4,500,2000
73,2023-08-21,CUST073,Electronics,3,30,90
74,2023-11-22,CUST074,Beauty,4,500,2000
75,2023-07-06,CUST075,Beauty,4,50,200
